,Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM_PM10,SPM,si,ni,ri
32,38,6/5/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.7,18.71666667,79.66666667,169.6666667,13.375,23.395833337499997,99.5833333375
33,38,11/5/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.95,18.9,161.3333333,296.3333333,13.6875,23.625,127.11111109999999
34,38,5/18/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.02,15.64,74.33333333,212.6666667,11.274999999999999,19.55,92.9166666625
35,38,5/20/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.91666667,21.65,62.66666667,139.6666667,14.8958333375,27.0625,78.3333333375
36,38,5/25/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.816666667,16.4,89.33333333,211.3333333,12.27083333375,20.5,103.11111111
37,38,5/27/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,14.71666667,23.45,68.33333333,211.6666667,18.3958333375,29.3125,85.4166666625
38,38,1/6/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.266666667,12.73333333,89.33333333,218.3333333,11.583333333750002,15.9166666625,103.11111111
39,38,3/6/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,13.53333333,22.21666667,86.0,225.0,16.9166666625,27.770833337499997,102.0
40,38,8/6/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.63333333,20.43333333,61.0,243.3333333,14.541666662499999,25.5416666625,76.25
41,38,10/6/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.38333333,20.51666667,73.66666667,136.6666667,15.479166662499999,25.6458333375,92.0833333375
42,38,6/15/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.6,19.38333333,74.0,171.0,14.5,24.2291666625,92.5
43,38,6/17/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,14.01666667,24.5,95.0,232.3333333,17.5208333375,30.625,105.0
44,38,6/22/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.966666667,16.91666667,43.66666667,141.3333333,12.45833333375,21.1458333375,54.583333337499994
45,38,6/24/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.7,18.86666667,79.0,220.0,13.375,23.5833333375,98.75
46,38,6/29/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,8.983333333,15.35,67.0,136.3333333,11.229166666249998,19.1875,83.75
47,38,1/7/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.066666667,15.33333333,81.0,165.3333333,11.33333333375,19.1666666625,100.33333333333333
48,38,6/7/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.78333333,21.2,90.66666667,203.3333333,15.979166662499999,26.5,103.55555555666666
49,38,8/7/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.6,20.21666667,55.0,83.33333333,15.75,25.270833337499997,68.75
50,38,7/13/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.05,17.5,75.0,167.3333333,12.5625,21.875,93.75
51,38,7/15/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,8.816666667,15.13333333,59.33333333,180.3333333,11.02083333375,18.9166666625,74.1666666625
52,38,7/20/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.45,15.96666667,56.66666667,96.0,13.0625,19.9583333375,70.8333333375
53,38,7/22/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.3,19.11666667,99.66666667,215.3333333,14.125,23.8958333375,106.55555555666666
54,38,7/27/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,13.45,22.3,87.66666667,221.6666667,16.8125,27.875,102.55555555666666
55,38,7/29/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.15,18.93333333,48.66666667,136.6666667,13.9375,23.6666666625,60.833333337499994
56,38,3/8/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.3,18.12,91.33333333,231.0,12.875,22.650000000000002,103.77777777666667
57,38,5/8/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.866666667,16.55,65.33333333,181.3333333,12.333333333750002,20.6875,81.6666666625
58,38,10/8/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.716666667,16.66666667,93.33333333,227.0,12.14583333375,20.8333333375,104.44444444333334
59,38,12/8/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,8.816666667,14.75,85.66666667,191.3333333,11.02083333375,18.4375,101.88888889
60,38,8/17/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,13.46666667,23.38333333,54.66666667,119.0,16.8333333375,29.2291666625,68.3333333375
61,38,8/19/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.55,15.38333333,133.6666667,175.0,13.1875,19.2291666625,117.8888889
62,38,8/24/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.43333333,18.01666667,46.66666667,62.66666667,13.041666662499999,22.5208333375,58.333333337499994
63,38,8/26/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.916666667,16.53333333,69.0,151.6666667,12.39583333375,20.666666662500003,86.25
64,38,8/31/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,14.13333333,20.63333333,49.66666667,118.6666667,17.6666666625,25.7916666625,62.083333337499994
65,38,2/9/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.33333333,17.41666667,52.33333333,160.0,14.1666666625,21.7708333375,65.4166666625
66,38,9/9/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.366666667,15.65,85.33333333,234.6666667,11.708333333750002,19.5625,101.77777777666667
67,38,9/14/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.36666667,19.06666667,63.0,165.0,14.208333337500001,23.8333333375,78.75
68,38,9/16/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,8.816666667,15.33333333,42.66666667,136.0,11.02083333375,19.1666666625,53.333333337499994
69,38,9/21/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.75,19.26666667,85.66666667,135.3333333,14.6875,24.0833333375,101.88888889
70,38,9/23/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.96666667,16.6,64.66666667,149.3333333,16.2083333375,20.75,80.8333333375
71,38,9/28/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,8.7,12.85,29.33333333,79.0,10.875,16.0625,36.6666666625
72,38,9/30/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.73333333,16.78333333,37.0,103.0,14.6666666625,20.979166662500003,46.25
73,38,5/10/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,8.86,14.2,213.3333333,260.0,11.075,17.75,144.44444443333333
74,38,7/10/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.366666667,15.38333333,98.33333333,201.6666667,11.708333333750002,19.2291666625,106.11111111
75,38,12/10/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.06666667,17.08333333,109.0,241.0,12.583333337500001,21.3541666625,109.66666666666667
76,38,10/14/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.46666667,19.81666667,145.0,288.6666667,14.333333337500001,24.7708333375,121.66666666666666
77,38,10/19/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.5,18.0,101.3333333,195.3333333,13.125,22.5,107.1111111
78,38,10/21/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.33333333,17.91666667,163.6666667,298.3333333,12.9166666625,22.3958333375,127.8888889
79,38,10/26/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.93333333,19.16666667,105.6666667,164.3333333,13.666666662499999,23.9583333375,108.55555556666667
80,38,10/28/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.41666667,19.78333333,179.3333333,239.3333333,14.2708333375,24.729166662500003,133.1111111
81,38,2/11/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.08333333,16.76666667,123.3333333,225.3333333,12.6041666625,20.9583333375,114.44444443333333
82,38,4/11/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.58333333,19.08333333,112.6666667,168.3333333,13.2291666625,23.8541666625,110.8888889
83,38,9/11/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.31666667,18.5,55.0,80.0,12.895833337500001,23.125,68.75
84,38,11/11/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.533333333,16.53333333,120.6666667,201.0,11.91666666625,20.666666662500003,113.55555556666667
85,38,11/16/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.93333333,16.9,73.66666667,115.6666667,13.666666662499999,21.125,92.0833333375
86,38,11/18/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,13.45,14.95,69.66666667,99.66666667,16.8125,18.6875,87.0833333375
87,38,11/23/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.93333333,22.48333333,65.0,99.33333333,14.916666662499999,28.1041666625,81.25
88,38,11/25/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.68333333,19.9,92.33333333,143.3333333,14.604166662499999,24.875,104.11111111
89,38,11/30/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.26666667,17.36666667,83.33333333,139.6666667,14.0833333375,21.7083333375,101.11111111
90,38,2/12/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.53333333,18.86666667,61.33333333,113.0,15.666666662499999,23.5833333375,76.6666666625
91,38,7/12/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.933333333,16.73333333,90.33333333,125.6666667,12.41666666625,20.9166666625,103.44444444333334
92,38,9/12/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.46666667,17.6,67.33333333,101.6666667,13.083333337500001,22.0,84.1666666625
93,38,12/14/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.35,17.71666667,43.0,71.66666667,14.1875,22.145833337499997,53.75
94,38,12/16/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.98333333,21.01666667,47.0,71.66666667,14.9791666625,26.2708333375,58.75
95,38,12/21/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.76666667,20.63333333,61.0,149.0,15.9583333375,25.7916666625,76.25
96,38,12/23/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.85,17.85,56.33333333,118.3333333,16.0625,22.3125,70.4166666625
97,38,12/28/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,14.56666667,18.31666667,42.33333333,131.3333333,18.2083333375,22.8958333375,52.916666662500006
98,38,12/29/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,14.61666667,18.43333333,30.66666667,83.0,18.2708333375,23.0416666625,38.3333333375
99,38,12/30/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,14.46666667,15.73333333,79.0,137.6666667,18.0833333375,19.6666666625,98.75
100,71,4/1/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,10.73333333,18.66666667,124.3333333,226.0,13.4166666625,23.3333333375,114.77777776666667
101,71,7/1/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,10.41666667,17.03333333,94.33333333,242.6666667,13.0208333375,21.291666662500003,104.77777777666667
102,71,11/1/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,11.15,20.3,50.66666667,96.33333333,13.9375,25.375,63.333333337499994
103,71,1/18/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,11.96666667,21.71666667,145.3333333,261.0,14.958333337500001,27.145833337499997,121.77777776666666
104,71,1/21/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,8.783333333,15.36666667,131.6666667,340.6666667,10.97916666625,19.2083333375,117.22222223333333
105,71,1/25/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,13.43333333,23.05,73.33333333,179.0,16.7916666625,28.8125,91.6666666625
106,71,1/28/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,12.95,17.83333333,110.0,229.0,16.1875,22.2916666625,110.0
107,71,1/2/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,10.76666667,18.91666667,128.0,230.3333333,13.4583333375,23.6458333375,116.0
108,71,4/2/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,15.65,22.33333333,138.0,269.0,19.5625,27.9166666625,119.33333333333333
109,71,8/2/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,9.133333333,13.56666667,126.6666667,253.3333333,11.416666666249998,16.9583333375,115.55555556666667
110,71,11/2/2010,Tamil Nadu,Chennai,"Govt. High School, Manali, Chennai.",Tamilnadu State Pollution Control Board,Industrial Area,10.78333333,19.41666667,92.33333333,223.3333333,13.479166662499999,24.2708333375,104.11111111
